,name,club,rank,category,points,id,link
0,יונתן שוסטרמן,מ. בני הרצליה,1,S,1807.8,745,/p/745/יונתן-שוסטרמן
1,מיכאל טאובר,עירוני גבעתיים,2,S,1774.0,853,/p/853/מיכאל-טאובר
2,טל ישראלי,הפועל חיפה,3,E20,1756.9,651,/p/651/טל-ישראלי
3,עמית גורן,הפועל עירוני נוף הגליל,4,S,1712.4,676,/p/676/עמית-גורן
4,גל אלגואטי,מ. בני הרצליה,5,S,1686.0,2183,/p/2183/גל-אלגואטי
5,יניב שרון,בית''ר ראשון לציון,6,S40,1685.1,882,/p/882/יניב-שרון
6,עמרי בן ארי,עירוני גבעתיים,7,S,1677.8,894,/p/894/עמרי-בן-ארי
7,אביב בן ארי,מכבי זאב זכרון יעקב,8,S,1639.2,524,/p/524/אביב-בן-ארי
8,איתי אביבי,מ. בני הרצליה,9,J17,1636.2,2284,/p/2284/איתי-אביבי
9,גל פרפל,הישגי כרמיאל,10,S,1628.9,741,/p/741/גל-פרפל
10,רון דוידוביץ,הפועל עירוני נוף הגליל,11,S40,1619.1,881,/p/881/רון-דוידוביץ
11,עידן אוגורצב,מכבי תל אביב,12,S,1601.3,862,/p/862/עידן-אוגורצב
12,איתי שושן,כרמל מרכזי טניס שולחן חיפה,13,J17,1590.0,2625,/p/2625/איתי-שושן
13,מתן סימון,עירוני גבעתיים,14,S,1583.9,341,/p/341/מתן-סימון
14,אור בשן,מ. בני הרצליה,15,S,1571.6,865,/p/865/אור-בשן
15,אורי אלמור,מכבי זאב זכרון יעקב,16,J16,1540.1,2620,/p/2620/אורי-אלמור
16,איסק אברמוב,בית''ר ראשון לציון,17,S50,1533.8,874,/p/874/איסק-אברמוב
17,רון דימנט,הישגי כרמיאל,18,S,1523.9,675,/p/675/רון-דימנט
18,דור אורן,מכבי זאב זכרון יעקב,19,S,1517.7,692,/p/692/דור-אורן
19,רונאל דוידוב,מכבי דימונה,20,S,1511.4,806,/p/806/רונאל-דוידוב
20,גיא קוחלי,כרמל מרכזי טניס שולחן חיפה,21,S,1510.1,684,/p/684/גיא-קוחלי
21,נתנאל אברמוב,בית''ר ראשון לציון,22,C15,1493.5,3181,/p/3181/נתנאל-אברמוב
22,אוהד פניאל,הפועל עירוני נוף הגליל,23,S,1479.8,891,/p/891/אוהד-פניאל
23,אלין ספלבוס,הפועל לוד,24,S,1478.8,8067,/p/8067/אלין-ספלבוס
24,יורי פורמן,הפועל לוד,25,S40,1467.4,888,/p/888/יורי-פורמן
25,אדיר דניאל,אופק קריית אונו,26,S,1451.7,738,/p/738/אדיר-דניאל
26,שמעון רבינוביץ,כרמל מרכזי טניס שולחן חיפה,27,S40,1447.9,869,/p/869/שמעון-רבינוביץ
27,בן יצחק,מכבי תל אביב,28,E19,1436.3,617,/p/617/בן-יצחק
28,אלכסיי נפלוקוב,כרמל מרכזי טניס שולחן חיפה,29,S40,1430.7,7692,/p/7692/אלכסיי-נפלוקוב
29,אושר אשכנזי,הפועל פתח תקווה,30,S,1419.5,820,/p/820/אושר-אשכנזי
30,דניאל קושקרוב,מכבי דימונה,31,E19,1404.6,620,/p/620/דניאל-קושקרוב
31,זיו יצחק,כרמל מרכזי טניס שולחן חיפה,32,S,1399.4,682,/p/682/זיו-יצחק
32,אביב עמידור,הפועל ירושלים,33,S,1398.1,130,/p/130/אביב-עמידור
33,פבל טמנוגורוד,הפועל טנ''ש באר שבע,34,S,1390.6,858,/p/858/פבל-טמנוגורוד
34,יניב קרמזין,כרמל מרכזי טניס שולחן חיפה,35,S,1376.4,685,/p/685/יניב-קרמזין
35,אור שטיין,הפועל ירושלים,36,S,1363.6,126,/p/126/אור-שטיין
36,אלכסנדר קורס,טנ''ש 2007 נתניה,37,S50,1352.5,1453,/p/1453/אלכסנדר-קורס
37,בנצי בלנק,הפועל לוד,38,S40,1313.4,878,/p/878/בנצי-בלנק
38,שחר כרמון,מכבי תל אביב,39,S,1306.7,1992,/p/1992/שחר-כרמון
39,אור מגן,הפועל פתח תקווה,40,C15,1306.1,6771,/p/6771/אור-מגן
40,עודד גרטמן,מכבי תל אביב,41,S50,1291.9,930,/p/930/עודד-גרטמן
41,איתמר אברמוב,מכבי זאב זכרון יעקב,42,S,1288.6,801,/p/801/איתמר-אברמוב
42,מתן עולי,מ. בני הרצליה,43,S,1280.0,1945,/p/1945/מתן-עולי
43,ולדי פורמן,הפועל טנ''ש באר שבע,44,S,1269.2,753,/p/753/ולדי-פורמן
44,אושרי זפרן,הפועל גליל תחתון,45,S,1257.3,1172,/p/1172/אושרי-זפרן
45,עידן טרוסמן,אליצור קריית אתא,46,J18,1242.1,624,/p/624/עידן-טרוסמן
46,נתן סגל,הישגי כרמיאל,47,E19,1235.9,626,/p/626/נתן-סגל
47,שחר גינסברג,מכבי רחובות,48,S,1231.9,884,/p/884/שחר-גינסברג
48,צחי פרום,מכבי תל אביב,49,S50,1229.1,965,/p/965/צחי-פרום
49,אסף חננאל,אופק קריית אונו,50,J17,1211.0,3082,/p/3082/אסף-חננאל
50,עמנואל כהן,הפועל ירושלים,51,E19,1208.3,2809,/p/2809/עמנואל-כהן
51,אמנון בן-שחר,מ. בני הרצליה,52,S50,1194.5,2596,/p/2596/אמנון-בן-שחר
52,יוני ירמיהו,הפועל לוד,53,S,1193.9,845,/p/845/יוני-ירמיהו
53,גבריאל קלוו,הפועל ירושלים,54,S,1193.4,324,/p/324/גבריאל-קלוו
54,יונתן שיפמן,מכבי תל אביב,55,S,1192.8,901,/p/901/יונתן-שיפמן
55,אבנר לוין,מ. בני הרצליה,56,S,1184.2,1199,/p/1199/אבנר-לוין
